sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
P1-ejb,1000,3,3,4,2,20,0.0,253.1004808909137,192.55830209124272
TOTAL,1000,3,3,4,2,20,0.0,253.1004808909137,192.55830209124272
